iter	Passed	Remaining
0	370	369946
1	613	306265
2	896	297901
3	1146	285554
4	1374	273486
5	1615	267654
6	1898	269287
7	2125	263559
8	2393	263593
9	2625	259878
10	2899	260703
11	3138	258382
12	3424	260032
13	3695	260276
14	3951	259496
15	4207	258762
16	4458	257834
17	4732	258173
18	4971	256700
19	5250	257295
20	5483	255652
21	5756	255910
22	5993	254603
23	6265	254776
24	6534	254855
25	6799	254727
26	7025	253193
27	7307	253676
28	7556	253000
29	7828	253132
30	8086	252779
31	8396	253995
32	8666	253946
33	8895	252743
34	9195	253528
35	9464	253450
36	9721	253032
37	9959	252124
38	10221	251877
39	10479	251499
40	10746	251365
41	10968	250190
42	11265	250717
43	11483	249505
44	11752	249406
45	11982	248498
46	12245	248292
47	12462	247173
48	12767	247796
49	13033	247643
50	13301	247512
51	13582	247617
52	13825	247029
53	14102	247063
54	14341	246414
55	14624	246526
56	14843	245575
57	15136	245843
58	15375	245220
59	15670	245510
60	15906	244854
61	16173	244688
62	16388	243752
63	16651	243521
64	16911	243266
65	17217	243655
66	17447	242968
67	17749	243276
68	17981	242618
69	18255	242540
70	18484	241865
71	18768	241907
72	18993	241186
73	19292	241412
74	19568	241346
75	19845	241279
76	20088	240799
77	20324	240242
78	20560	239702
79	20840	239668
80	21134	239783
81	21362	239159
82	21672	239444
83	21893	238745
84	22192	238892
85	22449	238593
86	22736	238601
87	22962	237970
88	23267	238164
89	23515	237766
90	23782	237562
91	24058	237446
92	24309	237081
93	24589	236997
94	24853	236765
95	25134	236687
96	25381	236284
97	25679	236357
98	25996	236591
99	26272	236456
100	26579	236580
101	26809	236026
102	27117	236156
103	27397	236039
104	27687	236006
105	27960	235819
106	28195	235311
107	28453	235006
108	28699	234601
109	29007	234697
110	29246	234237
111	29573	234475
112	29891	234633
113	30172	234497
114	30407	234004
115	30658	233636
116	30907	233256
117	31189	233125
118	31443	232790
119	31688	232381
120	31980	232323
121	32248	232080
122	32534	231970
123	32807	231766
124	33098	231689
125	33377	231523
126	33655	231347
127	33965	231391
128	34226	231094
129	34530	231087
